Sorted list of BTC addresses
BTC address;Amount (Satoshi)
3QESgb3fsr19eqnrPEPhPBC9jYUy1m3TAB;0
3QCYnwCPA1n2jSGzKzQqDBkCfEA3H546NY;0
3QcSYATejvoveGehcyjNiycyrzP54cuVoP;0
3QCSrTiZ57fPtSCGr5sQSzaJ7G6VYveFsV;0
3QcfvtEPRjzCURuuTxEQ83XzspRGYArN3X;0
3QCAAA3rDJzM1fHUCP319ZnYA1Fo9b5YZj;0
3QaYjiQcxQ9GugumUJ9idqoX9EyTvqCAQf;0
3QaTuQygHke14cqRVv4VryMNNcpbCSy3Vm;0
128V7z1Lsg76dzTY9XrYnJPvqBCZDX83ef;0
3QagvsFtRaDxpwDSvoQKvnMcGBfLrV7Wa7;0
3Q8LTTcf3whS1HLb3wbggoHcJ81ZhStaDm;0
3Q8FG7XH5mRR9DTqtbxECQonj91HJx2sQN;0
3Q7xHaSmwz7RtDr6J1sECNUnmyYwktiAxY;0
3Q7nJo4DkorwEm8XEidyRvrfja5Qytvsno;0
3Q5EKpasqHRs18xQCXdWtPebhDpiVoocZR;0
3Q4ofnyiiVsBmGkb4Wy7egzp2dQ7W38e74;0
3PXNcaLUmp3tSaTeHJD5cUPKckvu1uiGKr;0
3PWTKBhLPrwRyxe76EmaAdLBW5J7Uu5wf5;0
3PwrKsTBiUfsB3Y6ztHL18nQ4915bmokQL;0
128sUHyh7PvufhTePQLt6m6Uz6HmapwKeC;0
3PwPov5KnAgi8q1c3R8Uw4NSVRb8aWUVJK;0
3PwfdYPiHxFuz5hNcCqfzud4bViR6zV6eo;0
3PvXxafKiA3vGKAqhNmeaCiYNr2x2Z2mme;0
3PvVMCLwAztNKTUF4uHQEPXzC5ibX1k124;0
3PvuQkE8vbdWusyAAFhfigq7ioczLkd6UU;0
3PVQEr7PBgNBQAUc5rEmj6GwUz66ykWNst;0
3Pv8GVUhSdqf24fGymaUNcCYd2sKProtJa;0
3PUDGnvxRdpPf6JoBsvriaFxHUVVpywDBK;0
3PuAvgqGsjtwAsSF3fFw2qdJKvWeSsxYya;0
3Ptxz3qu2tNp3RdSDnqAdEpipvEfs4Uhfp;0
128sdVVWxjRPYmqBruZXd9sNSsPyAKTFsw;0
3PTPVbhU2tbCzEEGGodzu3DJpbYsLej2Ea;0
3Psx4YTnwsWc1cmuZRRWkRL2tgKFWb5ZVk;0
3PSLypjQgJUt9XbfYAH4ySmJGdTAyqaXpT;0
3PRHFjtsieGmjEjebjGdXcV3KpJoCyfx12;0
3PqJKJgByr3RxGJ3rB3fFPMTYeWAgiVyt4;0
3PqFmxF99RHHGv7fPz2goaifowYJqqWbHB;0
3PqCz7zaGAa8JwivwzRJ4VW45i1LTXLZKS;0
3PoHLpg9Tg6bUHWfAwaWkLqGVjqr8wTSqJ;0
3PNY8QktCCKjTJy7Mh3gs7ytdP9BXf1JtT;0
128rw6XstCfNZjcZtBHrqGnXBLPkq7pDiL;0
3PKv32dKCYCNSGe7shW3ejE8rCW1kBNNo7;0
3PKbVoqKxgzWg9CWkKS6xj2sexdZWA8Xsn;0
3PJqLMxzRjbdve5rq6v6wXT9KnoyEgbY1V;0
3PJkfvibgmcVoczgMq4GaKzrXTEuyTFtgZ;0
3PJGVCVWowWQi1Bhq4KnhsJ8HDsp8cj3U9;0
3Pj1Fb5wEhdzkeoUB2tLbHyXDAXEXSNUBd;0
3PijQ2BmgMSfjnia8i4URsiQKwiQP7U55H;0
3PHm2Lp46RfGtw499njxQZgZdyp4b4g2TT;0
3PGxmBVNfn6gqWBjw7dNgS7fCHzs9A1or2;0
128rTyEhBfF2cfo2L8evH7J7qjE88srrhq;0
3PGJMCtkNNobFbeEWsp7DJ8HbyJLnKFywf;0
3Pg2WbwNLatm1AvADk1V9vCr7DkWqN6UvF;0
3PFLNrfMVYip1Kb2r67BZf639ZuhPQMb6u;0
3PDBXUfTGH3FSSwZ384Ka7F6wyLXTm7cHJ;0
3PbwABybV51HoGGX2kbL4a3s44K5KWaPXX;0
3PBvQru6mEpxy2V31s5RQRKwv856rpxAQG;0
3PbrRhjTN481UnVUr13hqaQ2ERprSDBzWZ;0
3PBcQqcxpUgvbMEEmLJnNobZBz6q7jEufq;0
3P9Yw6HBrMrQHbwkrWLgau4sKPkwYX8y95;0
128RgsAST7dkikDtsb3vR6YDfo4z7rVCrX;0
3P5hZywmzyUerFmV34GpZDoZhtgq2YhPKd;0
3P42ViTaph8bs9HYFVJNp8x8K3MjgGzKwf;0
3P3njqgWqrMxvzM6ctpjMSqyMwbjkJWY78;0
3NzYmJB5seFB5GYkRxyRzcrGCXKhGUCiTM;0
3Nzreato4y777o2uDmKH5X8aGCBnRoebpJ;0
3NZMvUxAUBcMcq9VMcX4FgLqAnGxbJG1Dq;0
3Ny5bbXDJq5RQ3nWQXuJwqxrUozxwRoh1B;0
3NxvFBDd6u2ekzPXXx7t8F2R9wYheh1huD;0
3NweRn7spktaDkCC7ufdaCdVhofXamJmYX;0
3NvQyfMbV18TyCb1qYJMitg1pcPGEXMxDH;0
113DXBR6cFRC2NmuANDu4wwGLdCunN3HPo;0
128qYQNt14D7FfaMityvywqvgu7AW5i4iE;0
3NUSKZ14o3eFoXqe7oQhsU5M8NNLeNAaUY;0
3NUbTCYUWNbgp9qp3hAqw3bzW7DLp3Jgu5;0
3Nrb9vukZq4DSbYS4m3mQ5rfwktDUcfuQ9;0
3NQUuvCRG9BmjHusXHdUZXygjcLjTRJWo2;0
3NoQH2aFT4kDUrSTbd6hRQHqfTLVM3JqJH;0
3NoP3a4je4yMww6AF2n69bWJAKq2kNU7NH;0
3NoL1BQrhpPYgmPvHaMVYBX6rrHJgAKDbc;0
3NN7oL3uqvkUtf55XYcJYXvmU1LUDVYoFj;0
3NmwrdEk7hgmA9aCVPyDWRvcAhLnpS4Nxx;0
3NLVQTA9miZWXHbP3aP4P6zQuvFpBbL6mw;0
128PVnbFiFZ3yj8XiVRdK7jGVztsuLBhst;0
3NKpz3H5QSktaVrcFU1Y2GH6P3zGPUtDuR;0
3NjmBCWy7BFVQNhn8mwYVgCZi81Z6eskgT;0
3NjHBwChYmV4urj7H1SFfnm3raKYrJUvjf;0
3NiSQx2zhYGkP3146p4cDmFLozYLRmhPZq;0
3Niex7CsLrM1gm3DqUmzJv6497LRqRbgPC;0
3NHkR17MfAsaXqqkKGBQxqxvP5NEBWiicf;0
3NgpSQS25QPe2Am8K4FVHg7PgRbM51hffW;0
3NFCREXk7SSkzxyNaRwWJU44mi8vpeJJxm;0
3NfaWCtfVv2d9v8YGGtDiCVfpKCaY8BVYp;0
128pSJ6wiEc7pUdXAHWqTo4DqojdHqZfRu;0
3NeV3JBvo4K7hVAwa97HDYtz7F5EZj6kZQ;0
3Nena7GoU6rii9guX1xa1DALmtyyCkZhDV;0
3NdQ5SLFa5AnJd6f4KPqK3njxqXYFDLD2o;0
3NcrkhhCr191CGYsHHo5mhr7savuj3a4FQ;0
3NcCg75BQB1B3WpxpTkL5vsKUunjc513xy;0
3NbKGPNLRPfBektfENqRpbXy19bLLEAgSk;0
3NBbmk4nYNoiDcBE2YTYAoVx9b993x2xmQ;0
3Nb5pwcy31aPMAMhbjErUTrJZLQqzteCia;0
3N7HJAMuwWt1Atb18C98CMSXNUKnVf23BV;0
3N6Rpie61kdbGaxhZSPxcvprG8ZNauq2XQ;0
128ogVwGXep7dfsjvRnBEKkANqXcLeksyK;0
3N6ASdDtcNN83jxxU6tAqoLUMEFbMhMyLT;0
3N5FZbhPgNEgBFAK1q9XhqGJD9MQWHUQ5V;0
3N3EQ1DsThqeoUqUa3x13z41LYYnzKXv2i;0
3N3dpcAkNjSmod9dnTLgzb13PZax116jp7;0
